BB_N,BB_K,USD_Sharpe,GBP_Sharpe,USD_MaxDD,GBP_MaxDD,USD_Trades,GBP_Trades
10,1.5,-1.4870671179184938,-0.2213373062833663,-18.309319665142255,-13.279480698541846,174.0,176.0
10,2.0,-1.720473399816412,1.0317454378694626,-10.335295610453876,-7.9718532059457665,113.0,105.0
10,2.5,-0.2727362707425275,0.0093743440544241,-5.081966288975803,-4.408744476544591,27.0,24.0
10,3.0,,,-0.0,-0.0,0.0,0.0
14,1.5,0.0831527792052076,-0.4173026842938092,-11.915337228947786,-10.941031219258434,145.0,144.0
14,2.0,0.0819719261562003,0.5405453163422558,-7.782464140108003,-9.375522672334656,95.0,101.0
14,2.5,-0.9474994353849172,-0.0882538921780677,-6.53343485154243,-5.024185669085657,39.0,38.0
14,3.0,-0.7246326489012648,0.1479169562686119,-2.0357751656716383,-2.338667856870491,7.0,8.0
20,1.5,-0.7577389155371235,-0.6512272779005277,-12.474284867879426,-11.57398967802914,117.0,116.0
20,2.0,-1.0314997530497367,0.8112432816377011,-10.899647063501428,-8.308659868099843,78.0,79.0
20,2.5,-2.1479722692027847,-1.1367177323564297,-6.9955338257540305,-10.28105971245873,44.0,43.0
20,3.0,-1.1804646458163386,0.5988904623500547,-4.3862497181041515,-3.1229299340758465,9.0,13.0
28,1.5,-0.6665042446589794,-0.4709218280024776,-8.402976685478592,-8.62062951015955,83.0,95.0
28,2.0,-1.247499086928742,1.2314365824830849,-9.64457607947966,-9.064057192752994,70.0,68.0
28,2.5,-2.504604708825606,1.15495971202821,-10.12384855494155,-4.637350966082798,36.0,36.0
28,3.0,-0.3018263830948495,-0.2827166669434025,-5.743913526634792,-3.909977926050301,14.0,17.0
40,1.5,-0.2428862085310649,0.6071132502325934,-10.178188081153428,-8.67741710533494,69.0,74.0
40,2.0,-0.4809428945007907,0.4308561315104434,-8.71888666878301,-7.2854085903741534,51.0,55.0
40,2.5,-2.065173774748538,1.0954677693561166,-9.615547340447982,-4.560977323651649,29.0,28.0
40,3.0,-2.9268668143005403,1.2942035289448328,-6.203094482515992,-2.6657193649550104,13.0,15.0
