Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
25134,34,36,190.58068385588624,191.1144787869698,190.1861402689035,191.1144787869698,13416.401797854618,0.0,0.0028008868489906025,2025-05-06 09:00:00+00:00,2025-05-06 11:00:00+00:00,0 days 02:00:00,,191.20775059291296,191.15407180786133,191.83472584645577,191.7040042707191,190.58077533937015,190.60413934500355,0.27357878721896317,0.28428960048611335
-21645,82,84,192.09225871026948,192.57119442076035,192.57119442076035,191.4787333667206,-10366.563453574949,0.0,-0.0024932587794350702,2025-05-08 09:00:00+00:00,2025-05-08 11:00:00+00:00,0 days 02:00:00,,191.42121396745955,191.51667840140206,192.21536913540086,192.50408577458933,190.62705879951824,190.5292710282148,0.30326543046231397,0.37306071296080895
-17924,85,89,192.7442252132515,193.3065850879959,193.3065850879959,192.00087259263307,-10079.738394918662,0.0,-0.0029176483711623735,2025-05-08 12:00:00+00:00,2025-05-08 16:00:00+00:00,0 days 04:00:00,,191.5756072998047,191.8253571646554,192.70331319126873,193.50526167909803,190.44790140834064,190.14545265021277,0.3741278397694119,0.3643525406090681
-22429,128,129,194.7731503414087,195.21970960402018,195.21970960402018,194.1867037229601,-10015.87770111304,0.0,-0.0022927146879778704,2025-05-12 08:00:00+00:00,2025-05-12 09:00:00+00:00,0 days 01:00:00,,193.35275050571985,193.45332227434432,194.97684028432067,195.2926462965185,191.72866072711903,191.61399825217012,0.3109912341293019,0.33227820233881605
-19721,130,146,195.39911691644758,194.906005859375,195.90242426151605,194.7394505533302,9724.643156528391,0.0,0.0025236094453969793,2025-05-12 10:00:00+00:00,2025-05-13 02:00:00+00:00,0 days 16:00:00,,193.54117965698242,194.88210787091936,195.46477666701895,196.62175951719624,191.6175826469459,193.14245622464247,0.34547249438715955,0.3205999194828838
18185,178,192,194.7438461342154,194.20013356976625,194.20013356976625,195.47382703393146,-9887.412984507822,0.0,-0.0027919370765350227,2025-05-14 10:00:00+00:00,2025-05-15 00:00:00+00:00,0 days 14:00:00,,195.78882108415877,195.1511072431292,196.8495623006202,196.80445921745095,194.72807986769735,193.49775526880742,0.35920468490846647,0.347912827631027
23675,240,246,192.91178677660844,193.45647361229717,192.48789457715407,193.45647361229717,12895.460834930835,0.0,0.002823502103163289,2025-05-19 01:00:00+00:00,2025-05-19 07:00:00+00:00,0 days 06:00:00,,193.43532180786133,193.37825066702706,193.94870232609685,193.93275469185807,192.9219412896258,192.82374664219606,0.27839873751045907,0.27617199216577243
22611,298,303,192.70277871386415,193.1790008544922,192.24565040542595,193.2731436163331,10767.858821740589,0.0,0.0024712780158462344,2025-05-21 11:00:00+00:00,2025-05-21 16:00:00+00:00,0 days 05:00:00,,193.23685564313615,193.2110334123884,193.7887976612089,193.80215056095994,192.68491362506342,192.61991626381683,0.2913859887913764,0.2790518282123113
-28094,388,389,194.17016257592513,194.53623360737922,194.53623360737922,193.70034066379384,-10284.399557671024,0.0,-0.0018853104235876383,2025-05-27 06:00:00+00:00,2025-05-27 07:00:00+00:00,0 days 01:00:00,,193.6527862548828,193.6875719342913,194.29289549455666,194.4084557532498,193.01267701520896,192.9666881153328,0.2504104425424205,0.2550960910382744
-22405,430,430,195.66911029963623,196.11460593126597,196.11460593126597,195.07718781918445,-9981.329626664321,0.0,-0.0022767805861003687,2025-05-29 00:00:00+00:00,2025-05-29 00:00:00+00:00,0 days 00:00:00,,194.9475370134626,194.9475370134626,195.83559614436797,195.83559614436797,194.05947788255725,194.05947788255725,0.31316127671653987,0.31316127671653987
-20906,515,515,193.88918330769013,194.38470730675516,194.38470730675516,193.28404382211292,-10359.424724453484,0.0,-0.002555707289140896,2025-06-03 14:00:00+00:00,2025-06-03 14:00:00+00:00,0 days 00:00:00,,193.3683215550014,193.3683215550014,194.10648035793145,194.10648035793145,192.63016275207133,192.63016275207133,0.3389411669933303,0.3389411669933303
18303,542,556,193.58381094856279,194.2878602116286,193.04384757809493,194.2878602116286,12886.21366189382,0.0,0.0036369222179064575,2025-06-04 17:00:00+00:00,2025-06-05 07:00:00+00:00,0 days 14:00:00,,194.58521379743303,194.10357066563196,195.47870503336586,195.6004786807066,193.6917225615002,192.60666265055733,0.34011605877512,0.27682633227313075
-18887,565,569,195.37911345075898,194.6900488969647,195.91146418176868,194.6900488969647,13014.362227512598,0.0,0.0035268076593455433,2025-06-05 16:00:00+00:00,2025-06-05 20:00:00+00:00,0 days 04:00:00,,194.0399992806571,194.17135674612862,195.41332186766212,195.75924819403326,192.66667669365208,192.58346529822398,0.36254905774295837,0.36925796657851995
-22039,587,603,195.92109903788773,195.66600036621094,196.3845143606444,195.32396376263037,5622.119625084794,0.0,0.0013020479822208886,2025-06-06 14:00:00+00:00,2025-06-09 07:00:00+00:00,2 days 17:00:00,,195.10400009155273,195.6380342755999,195.99305638206494,196.54721207781648,194.21494380104053,194.7288564733833,0.30158410267384256,0.22619754796421881
23132,627,633,194.93886132307952,195.51762411566955,194.50152571817947,195.51762411566955,13387.940918192498,0.0,0.0029689451793339927,2025-06-10 07:00:00+00:00,2025-06-10 13:00:00+00:00,0 days 06:00:00,,195.79232025146484,195.71803556169783,196.5370211732257,196.63243958787118,195.047619329704,194.8036315355245,0.290719268024315,0.28608896829542807
24046,675,684,194.97586537886949,195.15899658203125,194.54352147533967,195.53397677799762,4403.572911227783,0.0,0.0009392506236909348,2025-06-12 07:00:00+00:00,2025-06-12 16:00:00+00:00,0 days 09:00:00,,195.65978731427873,195.47539465767997,196.38451162463232,196.3752305796209,194.93506300392514,194.57555873573904,0.28227349831557913,0.30430929756228353
