Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
-18802,24,30,155.26144785827637,155.25,155.81684814305646,154.57587768751327,215.24263131229964,0.0,7.373278063738109e-05,2025-02-04 00:00:00+00:00,2025-02-04 06:00:00+00:00,0 days 06:00:00,,154.7885001046317,155.0345687866211,155.14112148496488,155.39061980700671,154.43587872429853,154.67851776623547,0.34523698987944307,0.32231212671844683
23832,39,39,155.0135435281372,154.58830493750807,154.58830493750807,155.56758316274966,-10134.28609187355,0.0,-0.002743235080952422,2025-02-04 15:00:00+00:00,2025-02-04 15:00:00+00:00,0 days 00:00:00,,155.20042637416296,155.20042637416296,155.45105254811224,155.45105254811224,154.94980020021367,154.94980020021367,0.2956655731209289,0.2956655731209289
23930,49,50,153.86353813171388,153.43628096480955,153.43628096480955,154.40163962179037,-10224.264004020519,0.0,-0.002776857805899202,2025-02-05 01:00:00+00:00,2025-02-05 02:00:00+00:00,0 days 01:00:00,,154.44049835205078,154.30514199393136,155.1367639859825,155.02010587257425,153.74423271811906,153.59017811528847,0.28468655466215687,0.2982088738603957
20188,58,63,152.84053290664673,152.43499755859375,152.35265339364966,153.48512282702183,-8186.947606493537,0.0,-0.0026533233059365946,2025-02-05 10:00:00+00:00,2025-02-05 15:00:00+00:00,0 days 05:00:00,,153.47621263776506,153.00692749023438,154.23301103168114,153.51560507321514,152.71941424384897,152.4982499072536,0.32145043765047676,0.3487786676129177
18572,64,69,152.14052895843506,152.69400024414062,151.61483248686187,152.8355578235071,10279.068718123835,0.0,0.003637895105891076,2025-02-05 16:00:00+00:00,2025-02-05 21:00:00+00:00,0 days 05:00:00,,152.93228476388114,152.64207022530692,153.47610008330022,153.05917769288084,152.38846944446206,152.224962757733,0.3437949740696959,0.2984478526759891
21029,74,78,152.02451522506715,152.41600036621094,151.5570563003353,152.64659644167534,8232.541033112748,0.0,0.0025751448084818662,2025-02-06 02:00:00+00:00,2025-02-06 06:00:00+00:00,0 days 04:00:00,,152.46857234409876,152.41492898123605,152.86478659134215,152.68747400697373,152.07235809685537,152.14238395549836,0.31556182709898334,0.3001778416415453
22824,86,90,152.08051554092407,151.64217679940353,151.64217679940353,152.65444033354268,-10004.643436464785,0.0,-0.0028822807442586695,2025-02-06 14:00:00+00:00,2025-02-06 18:00:00+00:00,0 days 04:00:00,,152.3730708530971,152.23621368408203,152.67697267468216,152.81179990815485,152.06916903151202,151.6606274600092,0.29420319807199824,0.32590840486633904
-23557,103,109,151.83248129379274,152.24608427343736,152.24608427343736,151.27522524121113,-9743.245391488368,0.0,-0.0027240744280816465,2025-02-07 07:00:00+00:00,2025-02-07 13:00:00+00:00,0 days 06:00:00,,151.5175007411412,151.77292851039343,151.8134230956733,152.1319127042804,151.22157838660908,151.41394431650644,0.27386033286821315,0.3211986603987656
18678,112,114,151.38951436828614,151.66700744628906,150.86844482298085,152.08074137534845,5183.015710938529,0.0,0.0018329742265230653,2025-02-07 16:00:00+00:00,2025-02-07 18:00:00+00:00,0 days 02:00:00,,151.76092747279577,151.7460697719029,152.12970871899662,152.13749553332102,151.39214622659492,151.3546440104848,0.3674158739759597,0.3840734812798135
-19345,122,133,152.1434828224182,151.86199951171875,152.6522993803988,151.47558914807504,5445.294645480995,0.0,0.0018501174383395158,2025-02-10 03:00:00+00:00,2025-02-10 14:00:00+00:00,0 days 11:00:00,,151.6152834211077,152.02464185442244,152.05202512300895,152.28916385520722,151.17854171920646,151.76011985363766,0.3316172271144354,0.28683540739859986
