Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_dc_upper,Exit_dc_upper,Entry_dc_lower,Exit_dc_lower,Entry_dc_midline,Exit_dc_midline,Entry_atr,Exit_atr
13031,16,17,159.61725389390227,158.84763431271034,158.84763431271034,,-10028.912762512071,0.0,-0.00482165657168554,2025-02-03 16:00:00+00:00,2025-02-03 17:00:00+00:00,0 days 01:00:00,,159.81399536132812,159.81399536132812,157.96499633789062,157.96499633789062,158.88949584960938,158.88949584960938,0.5333256965773844,0.5312308470171694
12655,22,29,159.96025008133483,159.24173630741592,159.24173630741592,,-9092.791808943863,0.0,-0.004491827022985895,2025-02-03 22:00:00+00:00,2025-02-04 05:00:00+00:00,0 days 07:00:00,,160.13900756835938,160.47799682617188,157.96499633789062,159.20899963378906,159.052001953125,159.84349822998047,0.5176165638104164,0.4428240480362085
15924,34,47,160.6032725628015,159.98403921305837,159.98403921305837,,-9860.671861309544,0.0,-0.003855670808332934,2025-02-04 10:00:00+00:00,2025-02-04 23:00:00+00:00,0 days 13:00:00,,160.65499877929688,160.697998046875,159.17599487304688,160.0019989013672,159.91549682617188,160.3499984741211,0.4020266431020828,0.3132096754925815
-20668,48,97,159.84474544157348,156.92999267578125,160.34281561187169,,60242.1101633938,0.0,0.018234898856012927,2025-02-05 00:00:00+00:00,2025-02-07 01:00:00+00:00,2 days 01:00:00,,160.697998046875,157.74400329589844,159.83299255371094,156.75399780273438,160.26549530029297,157.2490005493164,0.32198074429110246,0.31172327814376083
24431,104,109,157.7401897863992,157.31590815519533,157.31590815519533,,-10365.624531942056,0.0,-0.002689749719322787,2025-02-07 08:00:00+00:00,2025-02-07 13:00:00+00:00,0 days 05:00:00,,157.76100158691406,158.01199340820312,156.75399780273438,157.25,157.25749969482422,157.63099670410156,0.27965644533760037,0.292707815665004
-19291,112,127,156.7628267211911,156.93099975585938,157.29618862695355,,-3244.226011785895,0.0,-0.001072786439143325,2025-02-07 16:00:00+00:00,2025-02-10 08:00:00+00:00,2 days 16:00:00,,158.01199340820312,156.96800231933594,156.3260040283203,156.24200439453125,157.16899871826172,156.6050033569336,0.3932373280322543,0.309157643894104
-22934,134,152,156.356831665632,156.8057116964327,156.8057116964327,,-10294.614626383125,0.0,-0.002870869318717162,2025-02-10 15:00:00+00:00,2025-02-11 09:00:00+00:00,0 days 18:00:00,,157.4149932861328,156.74200439453125,156.28399658203125,156.25100708007812,156.84949493408203,156.4965057373047,0.2864642062133565,0.2217540925371973
30284,153,202,156.777166724514,160.18299865722656,156.43937203502233,,103142.21425026756,0.0,0.021724030379355108,2025-02-11 10:00:00+00:00,2025-02-13 11:00:00+00:00,2 days 01:00:00,,156.8209991455078,161.18699645996094,156.25100708007812,160.13099670410156,156.53600311279297,160.65899658203125,0.22569971434536626,0.34878586861966504
-21225,203,215,160.03573462191147,160.05299377441406,160.56718515058574,,-366.3255118674591,0.0,-0.00010784561675158955,2025-02-13 12:00:00+00:00,2025-02-14 00:00:00+00:00,0 days 12:00:00,,161.18699645996094,160.3489990234375,159.80499267578125,159.00100708007812,160.4959945678711,159.6750030517578,0.34801526632707735,0.3554670177113311
-25534,239,266,159.34976349620604,159.1219940185547,159.78876517919394,,5815.865842349569,0.0,0.0014293681562744798,2025-02-17 01:00:00+00:00,2025-02-18 04:00:00+00:00,1 days 03:00:00,,160.06399536132812,159.13499450683594,159.2570037841797,158.52999877929688,159.6604995727539,158.8324966430664,0.29628113678523904,0.21343569825871336
